order_id,year_of_order,customer_id,customer_age,customer_gender,state,product_category,sub_category,cost_of_product,delivery_fee,revenue,opex
49913,2016,27079,54,F,Arizona,"Food and beverage","Bread and cakes",55.00,0.06,3.30,1.00
49949,2016,12692,50,F,Oregon,"Food and beverage","Fruits and vegetables",99.00,0.06,5.94,1.00
49967,2016,24111,36,M,Arizona,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
49970,2016,26085,19,F,Washington,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
49984,2016,13744,28,M,Washington,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
49986,2016,13502,22,F,Oregon,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
49991,2016,13758,27,F,California,"Food and beverage","Bread and cakes",75.00,0.06,4.50,1.00
50009,2016,19702,40,F,Washington,"Food and beverage",Seafood,157.00,0.06,9.42,1.00
50014,2016,25762,54,F,California,Clothing,Shorts,107.00,0.07,7.49,1.00
50017,2016,22665,35,F,Washington,Clothing,Caps,55.00,0.07,3.85,1.00
50025,2016,15138,23,M,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50035,2016,17166,32,F,Washington,Clothing,Vests,98.00,0.07,6.86,1.00
50052,2016,28002,22,M,Washington,"Food and beverage","Bread and cakes",55.00,0.06,3.30,1.00
50067,2016,16511,39,F,California,"Food and beverage","Fruits and vegetables",55.00,0.06,3.30,1.00
50072,2016,16352,45,M,Washington,Clothing,Pants,110.00,0.07,7.70,1.00
50078,2016,27649,28,M,California,Clothing,Shorts,61.00,0.07,4.27,1.00
50088,2016,11566,30,M,Arizona,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50106,2016,22041,24,M,Washington,"Food and beverage","Bread and cakes",55.00,0.06,3.30,1.00
50128,2016,20932,24,M,Washington,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50131,2016,22696,44,F,California,Clothing,Vests,108.00,0.07,7.56,1.00
50164,2016,26365,31,F,California,"Food and beverage","Bread and cakes",106.00,0.06,6.36,1.00
50173,2016,25081,28,F,Washington,"Food and beverage",Seafood,101.00,0.06,6.06,1.00
50205,2016,27859,34,F,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50208,2016,13165,44,M,California,"Food and beverage","Bread and cakes",55.00,0.06,3.30,1.00
50221,2016,24760,44,M,California,"Food and beverage","Fruits and vegetables",55.00,0.06,3.30,1.00
50248,2016,20181,49,M,Washington,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50251,2016,29123,25,F,Oregon,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50254,2016,14239,20,F,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50255,2016,24882,48,M,Oregon,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50281,2016,17149,37,F,California,Clothing,Pants,118.00,0.07,8.26,1.00
50299,2016,23309,39,F,Oregon,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50322,2016,20455,21,F,California,"Food and beverage","Fruits and vegetables",76.00,0.06,4.56,1.00
50344,2016,25310,35,M,Arizona,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50345,2016,27551,31,F,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50348,2016,16553,42,F,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50366,2016,16932,29,F,Nevada,"Food and beverage","Fruits and vegetables",69.00,0.06,4.14,1.00
50391,2016,12429,51,F,Oregon,Clothing,Vests,116.00,0.07,8.12,1.00
50404,2016,13748,45,F,California,"Food and beverage",Seafood,102.00,0.06,6.12,1.00
50415,2016,12964,41,F,California,"Food and beverage","Fruits and vegetables",79.00,0.06,4.74,1.00
50416,2016,12761,52,F,California,"Food and beverage","Fruits and vegetables",75.00,0.06,4.50,1.00
50422,2016,20890,35,M,California,Clothing,Pants,145.00,0.07,10.15,1.00
50427,2016,28139,39,F,Washington,Clothing,Caps,55.00,0.07,3.85,1.00
50431,2016,22922,41,F,Nevada,Clothing,Caps,55.00,0.07,3.85,1.00
50437,2016,18494,23,M,Oregon,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50440,2016,25699,27,F,Washington,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50441,2016,27646,30,F,Washington,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50443,2016,13915,47,M,Washington,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50445,2016,24301,35,M,Nevada,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50449,2016,21852,24,F,Washington,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50453,2016,18160,34,M,Arizona,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50477,2016,25367,46,F,California,Clothing,Pants,140.00,0.07,9.80,1.00
50500,2016,25823,33,M,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50503,2016,21834,34,F,California,"Food and beverage","Bread and cakes",79.00,0.06,4.74,1.00
50511,2016,27785,36,F,California,"Food and beverage",Seafood,102.00,0.06,6.12,1.00
50515,2016,11319,46,F,Washington,"Food and beverage",Seafood,132.00,0.06,7.92,1.00
50525,2016,23322,45,M,Oregon,Clothing,Shorts,53.00,0.07,3.71,1.00
50533,2016,26330,47,M,Washington,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50559,2016,27039,46,M,California,"Food and beverage","Bread and cakes",70.00,0.06,4.20,1.00
50560,2016,19294,62,M,Oregon,"Food and beverage","Bread and cakes",55.00,0.06,3.30,1.00
50583,2016,25860,35,F,Washington,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50584,2016,21829,38,F,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50597,2016,18447,36,F,Arizona,"Food and beverage","Bread and cakes",55.00,0.06,3.30,1.00
50598,2016,20417,36,F,California,"Food and beverage","Bread and cakes",53.00,0.06,3.18,1.00
50610,2016,12046,43,F,California,Clothing,Socks,52.00,0.07,3.64,1.00
50621,2016,19464,41,M,Arizona,"Food and beverage","Fruits and vegetables",99.00,0.06,5.94,1.00
50625,2016,15252,41,M,Washington,Clothing,Pants,99.00,0.07,6.93,1.00
50639,2016,28542,49,F,Oregon,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50646,2016,14457,22,F,Washington,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50671,2016,14848,38,M,California,"Food and beverage",Seafood,154.00,0.06,9.24,1.00
50690,2016,19524,21,M,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50698,2016,13272,48,M,California,"Food and beverage","Bread and cakes",107.00,0.06,6.42,1.00
50709,2016,22955,30,M,California,"Food and beverage","Fruits and vegetables",55.00,0.06,3.30,1.00
50716,2016,22897,61,M,Arizona,Clothing,Shorts,60.00,0.07,4.20,1.00
50721,2016,29594,50,F,Arizona,"Household appliances",Oven,472.00,0.09,42.48,5.00
50723,2016,22212,38,M,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50738,2016,24530,22,F,California,"Food and beverage","Bread and cakes",97.00,0.06,5.82,1.00
50739,2016,23853,37,M,California,"Food and beverage","Bread and cakes",72.00,0.06,4.32,1.00
50756,2016,25985,19,M,California,Clothing,Caps,55.00,0.07,3.85,1.00
50763,2016,21500,31,M,Washington,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50764,2016,14482,40,M,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50796,2016,23284,46,M,Washington,"Food and beverage","Fruits and vegetables",96.00,0.06,5.76,1.00
50806,2016,12855,44,M,California,"Food and beverage","Fruits and vegetables",54.00,0.06,3.24,1.00
50831,2016,21501,55,M,Washington,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50836,2016,29355,26,M,Arizona,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50841,2016,25420,24,F,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50856,2016,16962,26,F,Washington,Clothing,Socks,55.00,0.07,3.85,1.00
50890,2016,18465,19,F,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50896,2016,13536,34,M,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
50932,2016,22866,31,F,California,"Food and beverage",Seafood,61.00,0.06,3.66,1.00
50966,2016,14326,42,F,Arizona,"Food and beverage","Bread and cakes",107.00,0.06,6.42,1.00
50977,2016,22209,35,F,California,"Food and beverage","Fruits and vegetables",77.00,0.06,4.62,1.00
50984,2016,25320,32,M,California,Clothing,Shorts,54.00,0.07,3.78,1.00
50998,2016,14995,24,F,Arizona,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51002,2016,13526,54,M,Washington,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51004,2016,18368,63,F,Washington,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51005,2016,29799,54,M,Arizona,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51011,2016,25244,31,M,California,"Food and beverage","Bread and cakes",101.00,0.06,6.06,1.00
51036,2016,12041,30,M,Washington,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51038,2016,19103,44,M,Washington,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51042,2016,11971,41,M,Washington,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51050,2016,11623,40,F,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51058,2016,24660,20,M,Washington,"Food and beverage","Bread and cakes",60.00,0.06,3.60,1.00
51060,2016,15352,25,M,Washington,Clothing,Socks,55.00,0.07,3.85,1.00
51066,2016,19103,44,M,Oregon,"Food and beverage","Fruits and vegetables",55.00,0.06,3.30,1.00
51073,2016,15787,32,M,California,Clothing,Caps,55.00,0.07,3.85,1.00
51082,2016,14981,30,F,Washington,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51092,2016,15373,31,M,Nevada,"Food and beverage","Bread and cakes",55.00,0.06,3.30,1.00
51104,2016,22135,27,F,Oregon,Clothing,Pants,153.00,0.07,10.71,1.00
51106,2016,20408,27,M,Oregon,Clothing,Shorts,66.00,0.07,4.62,1.00
51109,2016,14313,33,M,Oregon,"Household appliances",Oven,417.00,0.09,37.53,5.00
51110,2016,17466,33,F,Oregon,"Household appliances",Oven,198.00,0.09,17.82,5.00
51116,2016,17500,27,M,Nevada,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51121,2016,26142,37,M,Oregon,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51138,2016,20025,62,F,California,"Food and beverage","Bread and cakes",96.00,0.06,5.76,1.00
51139,2016,22052,62,F,California,"Food and beverage","Bread and cakes",70.00,0.06,4.20,1.00
51141,2016,29907,32,F,Oregon,Clothing,Socks,55.00,0.07,3.85,1.00
51157,2016,16503,43,F,California,Clothing,Shorts,69.00,0.07,4.83,1.00
51160,2016,14705,36,F,Washington,Clothing,Caps,55.00,0.07,3.85,1.00
51163,2016,29430,45,F,Arizona,"Household appliances",Oven,459.00,0.09,41.31,5.00
51166,2016,29204,32,F,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51184,2016,28317,56,F,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51215,2016,19859,17,M,California,"Household appliances",Oven,204.00,0.09,18.36,5.00
51220,2016,29646,24,M,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51226,2016,23592,53,F,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51237,2016,28375,30,F,California,"Household appliances",Dishwasher,649.00,0.10,64.90,10.00
51240,2016,16517,45,F,California,"Food and beverage","Bread and cakes",52.00,0.06,3.12,1.00
51242,2016,18888,38,F,Oregon,"Food and beverage","Bread and cakes",55.00,0.06,3.30,1.00
51288,2016,17330,45,M,Washington,"Food and beverage","Bread and cakes",55.00,0.06,3.30,1.00
51289,2016,20646,45,M,Washington,"Food and beverage","Bread and cakes",95.00,0.06,5.70,1.00
51306,2016,21487,45,M,Washington,"Food and beverage",Seafood,72.00,0.06,4.32,1.00
51315,2016,28673,50,M,Arizona,"Food and beverage","Fruits and vegetables",60.00,0.06,3.60,1.00
51329,2016,16328,46,M,Nevada,"Household appliances",Oven,266.00,0.09,23.94,5.00
51338,2016,13321,32,M,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51339,2016,28253,35,F,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51361,2016,29900,55,M,California,"Food and beverage","Fruits and vegetables",73.00,0.06,4.38,1.00
51365,2016,15488,46,F,California,Clothing,Pants,164.00,0.07,11.48,1.00
51370,2016,27316,35,M,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51372,2016,11187,31,F,Washington,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51374,2016,11135,27,F,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51377,2016,25400,42,F,Arizona,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51381,2016,18756,41,M,Washington,Clothing,Vests,122.00,0.07,8.54,1.00
51384,2016,26824,21,M,California,"Food and beverage","Bread and cakes",55.00,0.06,3.30,1.00
51388,2016,12123,39,M,Washington,Clothing,Socks,55.00,0.07,3.85,1.00
51394,2016,25112,31,M,Oregon,"Household appliances",Toaster,340.00,0.08,27.20,5.00
51414,2016,19156,27,F,Washington,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51429,2016,17793,38,M,Nevada,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51438,2016,12405,60,M,Arizona,"Food and beverage","Bread and cakes",101.00,0.06,6.06,1.00
51462,2016,18478,43,F,California,Clothing,Caps,55.00,0.07,3.85,1.00
51480,2016,22603,42,M,Nevada,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51507,2016,19415,39,M,California,"Food and beverage",Seafood,160.00,0.06,9.60,1.00
51513,2016,24461,34,F,California,Clothing,Pants,140.00,0.07,9.80,1.00
51523,2016,11693,42,M,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51527,2016,14408,53,F,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51535,2016,13911,41,F,Washington,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51540,2016,17656,39,F,Arizona,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51544,2016,16362,29,F,Washington,"Food and beverage","Bread and cakes",55.00,0.06,3.30,1.00
51556,2016,26167,50,M,Washington,"Food and beverage","Bread and cakes",75.00,0.06,4.50,1.00
51561,2016,15987,28,M,California,Clothing,Socks,55.00,0.07,3.85,1.00
51569,2016,20319,49,M,California,"Household appliances",Toaster,185.00,0.08,14.80,5.00
51585,2016,15249,24,M,Nevada,Clothing,Caps,55.00,0.07,3.85,1.00
51619,2016,13219,40,F,California,"Food and beverage","Bread and cakes",55.00,0.06,3.30,1.00
51625,2016,26422,63,F,Washington,"Food and beverage","Bread and cakes",76.00,0.06,4.56,1.00
51626,2016,16325,17,M,Washington,"Food and beverage","Bread and cakes",55.00,0.06,3.30,1.00
51633,2016,19164,35,M,Washington,"Household appliances",Toaster,120.00,0.08,9.60,5.00
51635,2016,23862,41,M,Washington,"Food and beverage","Fruits and vegetables",55.00,0.06,3.30,1.00
51643,2016,14586,50,F,Washington,Clothing,Shorts,77.00,0.07,5.39,1.00
51646,2016,12756,33,F,Arizona,Clothing,Caps,55.00,0.07,3.85,1.00
51664,2016,21597,20,M,Nevada,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51683,2016,21832,19,M,California,"Food and beverage","Fruits and vegetables",96.00,0.06,5.76,1.00
51703,2016,28557,47,F,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51704,2016,29835,44,F,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51706,2016,24949,27,M,California,Clothing,Vests,129.00,0.07,9.03,1.00
51721,2016,28832,31,M,Oregon,"Food and beverage","Fruits and vegetables",67.00,0.06,4.02,1.00
51728,2016,16905,48,F,California,"Household appliances",Oven,465.00,0.09,41.85,5.00
51735,2016,16315,40,F,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51747,2016,23620,32,M,Oregon,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51752,2016,14638,49,F,Washington,Clothing,Vests,53.00,0.07,3.71,1.00
51754,2016,29879,57,M,Oregon,"Food and beverage","Bread and cakes",56.00,0.06,3.36,1.00
51769,2016,12605,36,M,Washington,"Food and beverage",Seafood,109.00,0.06,6.54,1.00
51788,2016,18099,44,M,Washington,Clothing,Shorts,63.00,0.07,4.41,1.00
51790,2016,24552,31,F,Washington,"Household appliances",Oven,600.00,0.09,54.00,5.00
51795,2016,22372,25,M,Oregon,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51811,2016,17096,25,M,Oregon,"Food and beverage","Bread and cakes",55.00,0.06,3.30,1.00
51815,2016,29137,27,M,Washington,"Food and beverage","Bread and cakes",67.00,0.06,4.02,1.00
51816,2016,25898,27,M,Washington,"Food and beverage","Bread and cakes",55.00,0.06,3.30,1.00
51822,2016,17410,50,M,California,"Food and beverage","Fruits and vegetables",55.00,0.06,3.30,1.00
51827,2016,26591,30,F,Washington,Clothing,Shorts,63.00,0.07,4.41,1.00
51875,2016,27172,53,F,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51885,2016,24665,37,F,Washington,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
51908,2016,25323,46,F,California,"Food and beverage","Fruits and vegetables",64.00,0.06,3.84,1.00
51949,2016,24513,17,M,California,"Food and beverage","Bread and cakes",70.00,0.06,4.20,1.00
51951,2016,27350,59,M,California,"Food and beverage",Seafood,95.00,0.06,5.70,1.00
51958,2016,12254,35,F,California,"Food and beverage","Fruits and vegetables",59.00,0.06,3.54,1.00
51967,2016,11244,31,M,California,"Food and beverage","Fruits and vegetables",55.00,0.06,3.30,1.00
51975,2016,18141,32,M,Washington,Clothing,Caps,55.00,0.07,3.85,1.00
51978,2016,19337,42,F,Arizona,Clothing,Caps,55.00,0.07,3.85,1.00
52014,2016,28836,27,M,California,Clothing,Socks,55.00,0.07,3.85,1.00
52015,2016,23473,64,M,Oregon,"Food and beverage",Seafood,95.00,0.06,5.70,1.00
52028,2016,24779,29,M,Oregon,"Food and beverage","Fruits and vegetables",98.00,0.06,5.88,1.00
52038,2016,11835,54,F,Arizona,Clothing,Shorts,95.00,0.07,6.65,1.00
52039,2016,25687,56,M,Washington,Clothing,Shorts,70.00,0.07,4.90,1.00
52062,2016,21608,37,F,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
52072,2016,16496,52,M,Oregon,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
52084,2016,27078,33,M,Washington,"Household appliances",Refrigerator,938.00,0.11,103.18,15.00
52101,2016,18573,55,M,Washington,"Food and beverage","Fruits and vegetables",65.00,0.06,3.90,1.00
52115,2016,21866,27,M,California,"Household appliances",Oven,447.00,0.09,40.23,5.00
52121,2016,14028,46,F,Oregon,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
52128,2016,16960,34,F,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
52144,2016,13536,34,M,California,"Food and beverage","Fruits and vegetables",60.00,0.06,3.60,1.00
52154,2016,12888,29,F,Arizona,Clothing,Shorts,50.00,0.07,3.50,1.00
52156,2016,23502,24,F,Washington,Clothing,Caps,55.00,0.07,3.85,1.00
52178,2016,23970,30,F,California,"Food and beverage","Bread and cakes",55.00,0.06,3.30,1.00
52185,2016,27179,20,M,Washington,"Food and beverage","Bread and cakes",104.00,0.06,6.24,1.00
52200,2016,13251,29,F,California,"Food and beverage","Fruits and vegetables",77.00,0.06,4.62,1.00
52225,2016,16706,17,M,Oregon,"Food and beverage","Bread and cakes",55.00,0.06,3.30,1.00
52227,2016,17969,24,M,Oregon,"Food and beverage","Bread and cakes",55.00,0.06,3.30,1.00
52246,2016,17993,46,F,California,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
52248,2016,17484,23,F,Washington,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
52250,2016,20930,31,F,Washington,"Food and beverage",Beverages,55.00,0.06,3.30,1.00
52258,2016,24799,27,F,California,"Food and beverage","Bread and cakes",66.00,0.06,3.96,1.00
52262,2016,29953,40,M,Washington,"Food and beverage",Seafood,52.00,0.06,3.12,1.00
52265,2016,11880,33,M,California,"Food and beverage","Fruits and vegetables",53.00,0.06,3.18,1.00
52269,2016,11935,55,M,Oregon,"Food and beverage","Fruits and vegetables",63.00,0.06,3.78,1.00
52274,2016,13690,21,M,Arizona,Clothing,Caps,55.00,0.07,3.85,1.00
52275,2016,17770,55,M,California,"Household appliances",Oven,539.00,0.09,48.51,5.00
